n,classifier,cnn,Training accuracy,Test accuracy,Training recall,Test recall,Training precision,Test precision,Training f1 Score,Test f1 Score
3889,BOOSTING,resNetRS101,99.05,87.5,98.64999999999999,87.25,87.75,87.55,86.8,86.6
3890,BOOSTING,resNetRS101,99.85,87.5,97.85,88.05,89.35,88.35,86.0,85.0
3891,BOOSTING,resNetRS101,97.85,87.5,99.85,86.05,85.35,86.35,88.0,89.0
3892,BOOSTING,resNetRS101,98.85,87.5,98.85,87.05,87.35,87.35,87.0,87.0
3893,BOOSTING,resNetRS101,98.35,87.5,99.35,86.55,86.35,86.85,87.5,88.0
3894,BOOSTING,resNetRS101,99.35,87.5,98.35,87.55,88.35,87.85,86.5,86.0
3895,BOOSTING,resNetRS101,98.94999999999999,87.5,98.75,87.14999999999999,87.55,87.44999999999999,86.9,86.8
3896,BOOSTING,resNetRS101,98.75,87.5,98.94999999999999,86.95,87.14999999999999,87.25,87.1,87.2
3897,BOOSTING,resNetRS101,98.85,87.5,98.85,87.05,87.35,87.35,87.0,87.0
3898,BOOSTING,resNetRS101,98.64999999999999,87.5,99.05,86.85,86.94999999999999,87.14999999999999,87.2,87.4
3899,BOOSTING,resNetRS101,99.05,87.5,98.64999999999999,87.25,87.75,87.55,86.8,86.6
3900,DECISION TREE,efficientNetB1,100.0,84.61,100.0,87.9,85.61,87.61,84.0,84.0
3901,DECISION TREE,efficientNetB1,100.0,88.61,100.0,85.9,87.61,85.61,88.0,88.0
3902,DECISION TREE,efficientNetB1,100.0,86.61,100.0,86.9,86.61,86.61,86.0,86.0
3903,DECISION TREE,efficientNetB1,100.0,87.61,100.0,86.4,87.11,86.11,87.0,87.0
3904,DECISION TREE,efficientNetB1,100.0,85.61,100.0,87.4,86.11,87.11,85.0,85.0
3905,DECISION TREE,efficientNetB1,100.0,86.41,100.0,87.0,86.51,86.71,85.8,85.8
3906,DECISION TREE,efficientNetB1,100.0,86.81,100.0,86.80000000000001,86.71,86.51,86.2,86.2
3907,DECISION TREE,efficientNetB1,100.0,86.61,100.0,86.9,86.61,86.61,86.0,86.0
3908,DECISION TREE,efficientNetB1,100.0,87.01,100.0,86.7,86.81,86.41,86.4,86.4
3909,DECISION TREE,efficientNetB1,100.0,86.21,100.0,87.10000000000001,86.41,86.81,85.6,85.6
3910,DECISION TREE,efficientNetB1,100.0,84.61,100.0,87.9,85.61,87.61,84.0,84.0
3911,DECISION TREE,efficientNetB1,100.0,88.61,100.0,85.9,87.61,85.61,88.0,88.0
3912,DECISION TREE,efficientNetB1,100.0,86.61,100.0,86.9,86.61,86.61,86.0,86.0
3913,DECISION TREE,efficientNetB1,100.0,87.61,100.0,86.4,87.11,86.11,87.0,87.0
3914,DECISION TREE,efficientNetB1,100.0,85.61,100.0,87.4,86.11,87.11,85.0,85.0
3915,DECISION TREE,efficientNetB1,100.0,86.41,100.0,87.0,86.51,86.71,85.8,85.8
3916,DECISION TREE,efficientNetB1,100.0,86.81,100.0,86.80000000000001,86.71,86.51,86.2,86.2
3917,DECISION TREE,efficientNetB1,100.0,86.61,100.0,86.9,86.61,86.61,86.0,86.0
3918,DECISION TREE,efficientNetB1,100.0,87.01,100.0,86.7,86.81,86.41,86.4,86.4
3919,DECISION TREE,efficientNetB1,100.0,86.21,100.0,87.10000000000001,86.41,86.81,85.6,85.6
3920,DECISION TREE,efficientNetB1,100.0,84.61,100.0,87.9,85.61,87.61,84.0,84.0
3921,DECISION TREE,efficientNetB1,100.0,88.61,100.0,85.9,87.61,85.61,88.0,88.0
3922,DECISION TREE,efficientNetB1,100.0,86.61,100.0,86.9,86.61,86.61,86.0,86.0
3923,DECISION TREE,efficientNetB1,100.0,87.61,100.0,86.4,87.11,86.11,87.0,87.0
3924,DECISION TREE,efficientNetB1,100.0,85.61,100.0,87.4,86.11,87.11,85.0,85.0
3925,DECISION TREE,efficientNetB1,100.0,86.41,100.0,87.0,86.51,86.71,85.8,85.8
3926,DECISION TREE,efficientNetB1,100.0,86.81,100.0,86.80000000000001,86.71,86.51,86.2,86.2
3927,DECISION TREE,efficientNetB1,100.0,86.61,100.0,86.9,86.61,86.61,86.0,86.0
3928,DECISION TREE,efficientNetB1,100.0,87.01,100.0,86.7,86.81,86.41,86.4,86.4
3929,DECISION TREE,efficientNetB1,100.0,86.21,100.0,87.10000000000001,86.41,86.81,85.6,85.6
3930,DECISION TREE,efficientNetB1,100.0,84.61,100.0,87.9,85.61,87.61,84.0,84.0
3931,DECISION TREE,efficientNetB1,100.0,88.61,100.0,85.9,87.61,85.61,88.0,88.0
3932,DECISION TREE,efficientNetB1,100.0,86.61,100.0,86.9,86.61,86.61,86.0,86.0
3933,DECISION TREE,efficientNetB1,100.0,87.61,100.0,86.4,87.11,86.11,87.0,87.0
3934,DECISION TREE,efficientNetB1,100.0,85.61,100.0,87.4,86.11,87.11,85.0,85.0
3935,DECISION TREE,efficientNetB1,100.0,86.41,100.0,87.0,86.51,86.71,85.8,85.8
3936,DECISION TREE,efficientNetB1,100.0,86.81,100.0,86.80000000000001,86.71,86.51,86.2,86.2
3937,DECISION TREE,efficientNetB1,100.0,86.61,100.0,86.9,86.61,86.61,86.0,86.0
3938,DECISION TREE,efficientNetB1,100.0,87.01,100.0,86.7,86.81,86.41,86.4,86.4
3939,DECISION TREE,efficientNetB1,100.0,86.21,100.0,87.10000000000001,86.41,86.81,85.6,85.6
3940,DECISION TREE,efficientNetB1,100.0,84.61,100.0,87.9,85.61,87.61,84.0,84.0
3941,DECISION TREE,efficientNetB1,100.0,88.61,100.0,85.9,87.61,85.61,88.0,88.0
3942,DECISION TREE,efficientNetB1,100.0,86.61,100.0,86.9,86.61,86.61,86.0,86.0
3943,DECISION TREE,efficientNetB1,100.0,87.61,100.0,86.4,87.11,86.11,87.0,87.0
3944,DECISION TREE,efficientNetB1,100.0,85.61,100.0,87.4,86.11,87.11,85.0,85.0
3945,DECISION TREE,efficientNetB1,100.0,86.41,100.0,87.0,86.51,86.71,85.8,85.8
3946,DECISION TREE,efficientNetB1,100.0,86.81,100.0,86.80000000000001,86.71,86.51,86.2,86.2
3947,DECISION TREE,efficientNetB1,100.0,86.61,100.0,86.9,86.61,86.61,86.0,86.0
3948,DECISION TREE,efficientNetB1,100.0,87.01,100.0,86.7,86.81,86.41,86.4,86.4
3949,DECISION TREE,efficientNetB1,100.0,86.21,100.0,87.10000000000001,86.41,86.81,85.6,85.6
3950,DECISION TREE,efficientNetB1,100.0,84.61,100.0,87.9,85.61,87.61,84.0,84.0
3951,DECISION TREE,efficientNetB1,100.0,88.61,100.0,85.9,87.61,85.61,88.0,88.0
3952,DECISION TREE,efficientNetB1,100.0,86.61,100.0,86.9,86.61,86.61,86.0,86.0
3953,DECISION TREE,efficientNetB1,100.0,87.61,100.0,86.4,87.11,86.11,87.0,87.0
3954,DECISION TREE,efficientNetB1,100.0,85.61,100.0,87.4,86.11,87.11,85.0,85.0
3955,DECISION TREE,efficientNetB1,100.0,86.41,100.0,87.0,86.51,86.71,85.8,85.8
3956,DECISION TREE,efficientNetB1,100.0,86.81,100.0,86.80000000000001,86.71,86.51,86.2,86.2
3957,DECISION TREE,efficientNetB1,100.0,86.61,100.0,86.9,86.61,86.61,86.0,86.0
3958,DECISION TREE,efficientNetB1,100.0,87.01,100.0,86.7,86.81,86.41,86.4,86.4
3959,DECISION TREE,efficientNetB1,100.0,86.21,100.0,87.10000000000001,86.41,86.81,85.6,85.6
3960,DECISION TREE,efficientNetB1,100.0,84.61,100.0,87.9,85.61,87.61,84.0,84.0
3961,DECISION TREE,efficientNetB1,100.0,88.61,100.0,85.9,87.61,85.61,88.0,88.0
3962,DECISION TREE,efficientNetB1,100.0,86.61,100.0,86.9,86.61,86.61,86.0,86.0
3963,DECISION TREE,efficientNetB1,100.0,87.61,100.0,86.4,87.11,86.11,87.0,87.0
3964,DECISION TREE,efficientNetB1,100.0,85.61,100.0,87.4,86.11,87.11,85.0,85.0
3965,DECISION TREE,efficientNetB1,100.0,86.41,100.0,87.0,86.51,86.71,85.8,85.8
3966,DECISION TREE,efficientNetB1,100.0,86.81,100.0,86.80000000000001,86.71,86.51,86.2,86.2
3967,DECISION TREE,efficientNetB1,100.0,86.61,100.0,86.9,86.61,86.61,86.0,86.0
3968,DECISION TREE,efficientNetB1,100.0,87.01,100.0,86.7,86.81,86.41,86.4,86.4
3969,DECISION TREE,efficientNetB1,100.0,86.21,100.0,87.10000000000001,86.41,86.81,85.6,85.6
3970,DECISION TREE,efficientNetB1,100.0,84.61,100.0,87.9,85.61,87.61,84.0,84.0
3971,DECISION TREE,efficientNetB1,100.0,88.61,100.0,85.9,87.61,85.61,88.0,88.0
3972,DECISION TREE,efficientNetB1,100.0,86.61,100.0,86.9,86.61,86.61,86.0,86.0
3973,DECISION TREE,efficientNetB1,100.0,87.61,100.0,86.4,87.11,86.11,87.0,87.0
3974,DECISION TREE,efficientNetB1,100.0,85.61,100.0,87.4,86.11,87.11,85.0,85.0
3975,DECISION TREE,efficientNetB1,100.0,86.41,100.0,87.0,86.51,86.71,85.8,85.8
3976,DECISION TREE,efficientNetB1,100.0,86.81,100.0,86.80000000000001,86.71,86.51,86.2,86.2
3977,DECISION TREE,efficientNetB1,100.0,86.61,100.0,86.9,86.61,86.61,86.0,86.0
3978,DECISION TREE,efficientNetB1,100.0,87.01,100.0,86.7,86.81,86.41,86.4,86.4
3979,DECISION TREE,efficientNetB1,100.0,86.21,100.0,87.10000000000001,86.41,86.81,85.6,85.6
3980,DECISION TREE,efficientNetB1,100.0,84.61,100.0,87.9,85.61,87.61,84.0,84.0
3981,DECISION TREE,efficientNetB1,100.0,88.61,100.0,85.9,87.61,85.61,88.0,88.0
3982,DECISION TREE,efficientNetB1,100.0,86.61,100.0,86.9,86.61,86.61,86.0,86.0
3983,DECISION TREE,efficientNetB1,100.0,87.61,100.0,86.4,87.11,86.11,87.0,87.0
3984,DECISION TREE,efficientNetB1,100.0,85.61,100.0,87.4,86.11,87.11,85.0,85.0
3985,DECISION TREE,efficientNetB1,100.0,86.41,100.0,87.0,86.51,86.71,85.8,85.8
3986,DECISION TREE,efficientNetB1,100.0,86.81,100.0,86.80000000000001,86.71,86.51,86.2,86.2
3987,DECISION TREE,efficientNetB1,100.0,86.61,100.0,86.9,86.61,86.61,86.0,86.0
3988,DECISION TREE,efficientNetB1,100.0,87.01,100.0,86.7,86.81,86.41,86.4,86.4
3989,DECISION TREE,efficientNetB1,100.0,86.21,100.0,87.10000000000001,86.41,86.81,85.6,85.6
3990,DECISION TREE,efficientNetB1,100.0,84.61,100.0,87.9,85.61,87.61,84.0,84.0
3991,DECISION TREE,efficientNetB1,100.0,88.61,100.0,85.9,87.61,85.61,88.0,88.0
3992,DECISION TREE,efficientNetB1,100.0,86.61,100.0,86.9,86.61,86.61,86.0,86.0
3993,DECISION TREE,efficientNetB1,100.0,87.61,100.0,86.4,87.11,86.11,87.0,87.0
3994,DECISION TREE,efficientNetB1,100.0,85.61,100.0,87.4,86.11,87.11,85.0,85.0
3995,DECISION TREE,efficientNetB1,100.0,86.41,100.0,87.0,86.51,86.71,85.8,85.8
3996,DECISION TREE,efficientNetB1,100.0,86.81,100.0,86.80000000000001,86.71,86.51,86.2,86.2
3997,DECISION TREE,efficientNetB1,100.0,86.61,100.0,86.9,86.61,86.61,86.0,86.0
3998,DECISION TREE,efficientNetB1,100.0,87.01,100.0,86.7,86.81,86.41,86.4,86.4
3999,DECISION TREE,efficientNetB1,100.0,86.21,100.0,87.10000000000001,86.41,86.81,85.6,85.6
4000,BOOSTING,efficientNetV2B0,94.55,85.61,94.46,84.84,87.17,88.17,85.0,86.0
4001,BOOSTING,efficientNetV2B0,98.55,87.61,98.46,88.84,87.17,86.17,87.0,86.0
4002,BOOSTING,efficientNetV2B0,96.55,86.61,96.46,86.84,87.17,87.17,86.0,86.0
4003,BOOSTING,efficientNetV2B0,97.55,87.11,97.46,87.84,87.17,86.67,86.5,86.0
4004,BOOSTING,efficientNetV2B0,95.55,86.11,95.46,85.84,87.17,87.67,85.5,86.0
4005,BOOSTING,efficientNetV2B0,96.35,86.51,96.25999999999999,86.64,87.17,87.27,85.9,86.0
4006,BOOSTING,efficientNetV2B0,96.75,86.71,96.66,87.04,87.17,87.07000000000001,86.1,86.0
4007,BOOSTING,efficientNetV2B0,96.55,86.61,96.46,86.84,87.17,87.17,86.0,86.0
4008,BOOSTING,efficientNetV2B0,96.95,86.81,96.86,87.24000000000001,87.17,86.97,86.2,86.0
4009,BOOSTING,efficientNetV2B0,96.14999999999999,86.41,96.05999999999999,86.44,87.17,87.37,85.8,86.0
4010,BOOSTING,efficientNetV2B0,94.55,85.61,94.46,84.84,87.17,88.17,85.0,86.0
4011,BOOSTING,efficientNetV2B0,98.55,87.61,98.46,88.84,87.17,86.17,87.0,86.0
4012,BOOSTING,efficientNetV2B0,96.55,86.61,96.46,86.84,87.17,87.17,86.0,86.0
4013,BOOSTING,efficientNetV2B0,97.55,87.11,97.46,87.84,87.17,86.67,86.5,86.0
4014,BOOSTING,efficientNetV2B0,95.55,86.11,95.46,85.84,87.17,87.67,85.5,86.0
4015,BOOSTING,efficientNetV2B0,96.35,86.51,96.25999999999999,86.64,87.17,87.27,85.9,86.0
4016,BOOSTING,efficientNetV2B0,96.75,86.71,96.66,87.04,87.17,87.07000000000001,86.1,86.0
4017,BOOSTING,efficientNetV2B0,96.55,86.61,96.46,86.84,87.17,87.17,86.0,86.0
4018,BOOSTING,efficientNetV2B0,96.95,86.81,96.86,87.24000000000001,87.17,86.97,86.2,86.0
4019,BOOSTING,efficientNetV2B0,96.14999999999999,86.41,96.05999999999999,86.44,87.17,87.37,85.8,86.0
4020,BOOSTING,efficientNetV2B0,94.55,85.61,94.46,84.84,87.17,88.17,85.0,86.0
4021,BOOSTING,efficientNetV2B0,98.55,87.61,98.46,88.84,87.17,86.17,87.0,86.0
4022,BOOSTING,efficientNetV2B0,96.55,86.61,96.46,86.84,87.17,87.17,86.0,86.0
4023,BOOSTING,efficientNetV2B0,97.55,87.11,97.46,87.84,87.17,86.67,86.5,86.0
4024,BOOSTING,efficientNetV2B0,95.55,86.11,95.46,85.84,87.17,87.67,85.5,86.0
4025,BOOSTING,efficientNetV2B0,96.35,86.51,96.25999999999999,86.64,87.17,87.27,85.9,86.0
4026,BOOSTING,efficientNetV2B0,96.75,86.71,96.66,87.04,87.17,87.07000000000001,86.1,86.0
4027,BOOSTING,efficientNetV2B0,96.55,86.61,96.46,86.84,87.17,87.17,86.0,86.0
4028,BOOSTING,efficientNetV2B0,96.95,86.81,96.86,87.24000000000001,87.17,86.97,86.2,86.0
4029,BOOSTING,efficientNetV2B0,96.14999999999999,86.41,96.05999999999999,86.44,87.17,87.37,85.8,86.0
4030,BOOSTING,efficientNetV2B0,94.55,85.61,94.46,84.84,87.17,88.17,85.0,86.0
4031,BOOSTING,efficientNetV2B0,98.55,87.61,98.46,88.84,87.17,86.17,87.0,86.0
4032,BOOSTING,efficientNetV2B0,96.55,86.61,96.46,86.84,87.17,87.17,86.0,86.0
4033,BOOSTING,efficientNetV2B0,97.55,87.11,97.46,87.84,87.17,86.67,86.5,86.0
4034,BOOSTING,efficientNetV2B0,95.55,86.11,95.46,85.84,87.17,87.67,85.5,86.0
4035,BOOSTING,efficientNetV2B0,96.35,86.51,96.25999999999999,86.64,87.17,87.27,85.9,86.0
4036,BOOSTING,efficientNetV2B0,96.75,86.71,96.66,87.04,87.17,87.07000000000001,86.1,86.0
4037,BOOSTING,efficientNetV2B0,96.55,86.61,96.46,86.84,87.17,87.17,86.0,86.0
4038,BOOSTING,efficientNetV2B0,96.95,86.81,96.86,87.24000000000001,87.17,86.97,86.2,86.0
4039,BOOSTING,efficientNetV2B0,96.14999999999999,86.41,96.05999999999999,86.44,87.17,87.37,85.8,86.0
4040,BOOSTING,efficientNetV2B0,94.55,85.61,94.46,84.84,87.17,88.17,85.0,86.0
4041,BOOSTING,efficientNetV2B0,98.55,87.61,98.46,88.84,87.17,86.17,87.0,86.0
4042,BOOSTING,efficientNetV2B0,96.55,86.61,96.46,86.84,87.17,87.17,86.0,86.0
4043,BOOSTING,efficientNetV2B0,97.55,87.11,97.46,87.84,87.17,86.67,86.5,86.0
4044,BOOSTING,efficientNetV2B0,95.55,86.11,95.46,85.84,87.17,87.67,85.5,86.0
4045,BOOSTING,efficientNetV2B0,96.35,86.51,96.25999999999999,86.64,87.17,87.27,85.9,86.0
4046,BOOSTING,efficientNetV2B0,96.75,86.71,96.66,87.04,87.17,87.07000000000001,86.1,86.0
4047,BOOSTING,efficientNetV2B0,96.55,86.61,96.46,86.84,87.17,87.17,86.0,86.0
4048,BOOSTING,efficientNetV2B0,96.95,86.81,96.86,87.24000000000001,87.17,86.97,86.2,86.0
4049,BOOSTING,efficientNetV2B0,96.14999999999999,86.41,96.05999999999999,86.44,87.17,87.37,85.8,86.0
4050,BOOSTING,efficientNetV2B0,94.55,85.61,94.46,84.84,87.17,88.17,85.0,86.0
4051,BOOSTING,efficientNetV2B0,98.55,87.61,98.46,88.84,87.17,86.17,87.0,86.0
4052,BOOSTING,efficientNetV2B0,96.55,86.61,96.46,86.84,87.17,87.17,86.0,86.0
4053,BOOSTING,efficientNetV2B0,97.55,87.11,97.46,87.84,87.17,86.67,86.5,86.0
4054,BOOSTING,efficientNetV2B0,95.55,86.11,95.46,85.84,87.17,87.67,85.5,86.0
4055,BOOSTING,efficientNetV2B0,96.35,86.51,96.25999999999999,86.64,87.17,87.27,85.9,86.0
4056,BOOSTING,efficientNetV2B0,96.75,86.71,96.66,87.04,87.17,87.07000000000001,86.1,86.0
4057,BOOSTING,efficientNetV2B0,96.55,86.61,96.46,86.84,87.17,87.17,86.0,86.0
4058,BOOSTING,efficientNetV2B0,96.95,86.81,96.86,87.24000000000001,87.17,86.97,86.2,86.0
4059,BOOSTING,efficientNetV2B0,96.14999999999999,86.41,96.05999999999999,86.44,87.17,87.37,85.8,86.0
4060,BOOSTING,efficientNetV2B0,94.55,85.61,94.46,84.84,87.17,88.17,85.0,86.0
4061,BOOSTING,efficientNetV2B0,98.55,87.61,98.46,88.84,87.17,86.17,87.0,86.0
4062,BOOSTING,efficientNetV2B0,96.55,86.61,96.46,86.84,87.17,87.17,86.0,86.0
4063,BOOSTING,efficientNetV2B0,97.55,87.11,97.46,87.84,87.17,86.67,86.5,86.0
4064,BOOSTING,efficientNetV2B0,95.55,86.11,95.46,85.84,87.17,87.67,85.5,86.0
4065,BOOSTING,efficientNetV2B0,96.35,86.51,96.25999999999999,86.64,87.17,87.27,85.9,86.0
4066,BOOSTING,efficientNetV2B0,96.75,86.71,96.66,87.04,87.17,87.07000000000001,86.1,86.0
4067,BOOSTING,efficientNetV2B0,96.55,86.61,96.46,86.84,87.17,87.17,86.0,86.0
4068,BOOSTING,efficientNetV2B0,96.95,86.81,96.86,87.24000000000001,87.17,86.97,86.2,86.0
4069,BOOSTING,efficientNetV2B0,96.14999999999999,86.41,96.05999999999999,86.44,87.17,87.37,85.8,86.0
4070,BOOSTING,efficientNetV2B0,94.55,85.61,94.46,84.84,87.17,88.17,85.0,86.0
4071,BOOSTING,efficientNetV2B0,98.55,87.61,98.46,88.84,87.17,86.17,87.0,86.0
4072,BOOSTING,efficientNetV2B0,96.55,86.61,96.46,86.84,87.17,87.17,86.0,86.0
4073,BOOSTING,efficientNetV2B0,97.55,87.11,97.46,87.84,87.17,86.67,86.5,86.0
4074,BOOSTING,efficientNetV2B0,95.55,86.11,95.46,85.84,87.17,87.67,85.5,86.0
4075,BOOSTING,efficientNetV2B0,96.35,86.51,96.25999999999999,86.64,87.17,87.27,85.9,86.0
4076,BOOSTING,efficientNetV2B0,96.75,86.71,96.66,87.04,87.17,87.07000000000001,86.1,86.0
4077,BOOSTING,efficientNetV2B0,96.55,86.61,96.46,86.84,87.17,87.17,86.0,86.0
4078,BOOSTING,efficientNetV2B0,96.95,86.81,96.86,87.24000000000001,87.17,86.97,86.2,86.0
4079,BOOSTING,efficientNetV2B0,96.14999999999999,86.41,96.05999999999999,86.44,87.17,87.37,85.8,86.0
4080,BOOSTING,efficientNetV2B0,94.55,85.61,94.46,84.84,87.17,88.17,85.0,86.0
4081,BOOSTING,efficientNetV2B0,98.55,87.61,98.46,88.84,87.17,86.17,87.0,86.0
4082,BOOSTING,efficientNetV2B0,96.55,86.61,96.46,86.84,87.17,87.17,86.0,86.0
4083,BOOSTING,efficientNetV2B0,97.55,87.11,97.46,87.84,87.17,86.67,86.5,86.0
4084,BOOSTING,efficientNetV2B0,95.55,86.11,95.46,85.84,87.17,87.67,85.5,86.0
4085,BOOSTING,efficientNetV2B0,96.35,86.51,96.25999999999999,86.64,87.17,87.27,85.9,86.0
4086,BOOSTING,efficientNetV2B0,96.75,86.71,96.66,87.04,87.17,87.07000000000001,86.1,86.0
4087,BOOSTING,efficientNetV2B0,96.55,86.61,96.46,86.84,87.17,87.17,86.0,86.0
4088,BOOSTING,efficientNetV2B0,96.95,86.81,96.86,87.24000000000001,87.17,86.97,86.2,86.0
4089,BOOSTING,efficientNetV2B0,96.14999999999999,86.41,96.05999999999999,86.44,87.17,87.37,85.8,86.0
4090,BOOSTING,efficientNetV2B0,94.55,85.61,94.46,84.84,87.17,88.17,85.0,86.0
4091,BOOSTING,efficientNetV2B0,98.55,87.61,98.46,88.84,87.17,86.17,87.0,86.0
4092,BOOSTING,efficientNetV2B0,96.55,86.61,96.46,86.84,87.17,87.17,86.0,86.0
4093,BOOSTING,efficientNetV2B0,97.55,87.11,97.46,87.84,87.17,86.67,86.5,86.0
4094,BOOSTING,efficientNetV2B0,95.55,86.11,95.46,85.84,87.17,87.67,85.5,86.0
4095,BOOSTING,efficientNetV2B0,96.35,86.51,96.25999999999999,86.64,87.17,87.27,85.9,86.0
4096,BOOSTING,efficientNetV2B0,96.75,86.71,96.66,87.04,87.17,87.07000000000001,86.1,86.0
4097,BOOSTING,efficientNetV2B0,96.55,86.61,96.46,86.84,87.17,87.17,86.0,86.0
4098,BOOSTING,efficientNetV2B0,96.95,86.81,96.86,87.24000000000001,87.17,86.97,86.2,86.0
4099,BOOSTING,efficientNetV2B0,96.14999999999999,86.41,96.05999999999999,86.44,87.17,87.37,85.8,86.0
4100,SVMpoly,inceptionv3,100.0,85.61,98.0,88.29,87.21,84.21,84.0,85.0
4101,SVMpoly,inceptionv3,99.0,87.61,100.0,84.29,85.21,88.21,88.0,87.0
4102,SVMpoly,inceptionv3,100.0,86.61,100.0,86.29,86.21,86.21,86.0,86.0
4103,SVMpoly,inceptionv3,99.5,87.11,100.0,85.29,85.71,87.21,87.0,86.5
4104,SVMpoly,inceptionv3,100.0,86.11,99.0,87.29,86.71,85.21,85.0,85.5
4105,SVMpoly,inceptionv3,100.0,86.51,99.8,86.49000000000001,86.30999999999999,86.00999999999999,85.8,85.9
4106,SVMpoly,inceptionv3,99.9,86.71,100.0,86.09,86.11,86.41,86.2,86.1
4107,SVMpoly,inceptionv3,100.0,86.61,100.0,86.29,86.21,86.21,86.0,86.0
4108,SVMpoly,inceptionv3,99.8,86.81,100.0,85.89,86.00999999999999,86.61,86.4,86.2
4109,SVMpoly,inceptionv3,100.0,86.41,99.6,86.69000000000001,86.41,85.80999999999999,85.6,85.8
4110,SVMpoly,inceptionv3,100.0,85.61,98.0,88.29,87.21,84.21,84.0,85.0
4111,SVMpoly,inceptionv3,99.0,87.61,100.0,84.29,85.21,88.21,88.0,87.0
4112,SVMpoly,inceptionv3,100.0,86.61,100.0,86.29,86.21,86.21,86.0,86.0
4113,SVMpoly,inceptionv3,99.5,87.11,100.0,85.29,85.71,87.21,87.0,86.5
4114,SVMpoly,inceptionv3,100.0,86.11,99.0,87.29,86.71,85.21,85.0,85.5
4115,SVMpoly,inceptionv3,100.0,86.51,99.8,86.49000000000001,86.30999999999999,86.00999999999999,85.8,85.9
4116,SVMpoly,inceptionv3,99.9,86.71,100.0,86.09,86.11,86.41,86.2,86.1
4117,SVMpoly,inceptionv3,100.0,86.61,100.0,86.29,86.21,86.21,86.0,86.0
4118,SVMpoly,inceptionv3,99.8,86.81,100.0,85.89,86.00999999999999,86.61,86.4,86.2
4119,SVMpoly,inceptionv3,100.0,86.41,99.6,86.69000000000001,86.41,85.80999999999999,85.6,85.8
4120,SVMpoly,inceptionv3,100.0,85.61,98.0,88.29,87.21,84.21,84.0,85.0
4121,SVMpoly,inceptionv3,99.0,87.61,100.0,84.29,85.21,88.21,88.0,87.0
4122,SVMpoly,inceptionv3,100.0,86.61,100.0,86.29,86.21,86.21,86.0,86.0
4123,SVMpoly,inceptionv3,99.5,87.11,100.0,85.29,85.71,87.21,87.0,86.5
4124,SVMpoly,inceptionv3,100.0,86.11,99.0,87.29,86.71,85.21,85.0,85.5
4125,SVMpoly,inceptionv3,100.0,86.51,99.8,86.49000000000001,86.30999999999999,86.00999999999999,85.8,85.9
4126,SVMpoly,inceptionv3,99.9,86.71,100.0,86.09,86.11,86.41,86.2,86.1
4127,SVMpoly,inceptionv3,100.0,86.61,100.0,86.29,86.21,86.21,86.0,86.0
4128,SVMpoly,inceptionv3,99.8,86.81,100.0,85.89,86.00999999999999,86.61,86.4,86.2
4129,SVMpoly,inceptionv3,100.0,86.41,99.6,86.69000000000001,86.41,85.80999999999999,85.6,85.8
4130,SVMpoly,inceptionv3,100.0,85.61,98.0,88.29,87.21,84.21,84.0,85.0
4131,SVMpoly,inceptionv3,99.0,87.61,100.0,84.29,85.21,88.21,88.0,87.0
4132,SVMpoly,inceptionv3,100.0,86.61,100.0,86.29,86.21,86.21,86.0,86.0
4133,SVMpoly,inceptionv3,99.5,87.11,100.0,85.29,85.71,87.21,87.0,86.5
4134,SVMpoly,inceptionv3,100.0,86.11,99.0,87.29,86.71,85.21,85.0,85.5
4135,SVMpoly,inceptionv3,100.0,86.51,99.8,86.49000000000001,86.30999999999999,86.00999999999999,85.8,85.9
4136,SVMpoly,inceptionv3,99.9,86.71,100.0,86.09,86.11,86.41,86.2,86.1
4137,SVMpoly,inceptionv3,100.0,86.61,100.0,86.29,86.21,86.21,86.0,86.0
4138,SVMpoly,inceptionv3,99.8,86.81,100.0,85.89,86.00999999999999,86.61,86.4,86.2
4139,SVMpoly,inceptionv3,100.0,86.41,99.6,86.69000000000001,86.41,85.80999999999999,85.6,85.8
4140,SVMpoly,inceptionv3,100.0,85.61,98.0,88.29,87.21,84.21,84.0,85.0
4141,SVMpoly,inceptionv3,99.0,87.61,100.0,84.29,85.21,88.21,88.0,87.0
4142,SVMpoly,inceptionv3,100.0,86.61,100.0,86.29,86.21,86.21,86.0,86.0
4143,SVMpoly,inceptionv3,99.5,87.11,100.0,85.29,85.71,87.21,87.0,86.5
4144,SVMpoly,inceptionv3,100.0,86.11,99.0,87.29,86.71,85.21,85.0,85.5
4145,SVMpoly,inceptionv3,100.0,86.51,99.8,86.49000000000001,86.30999999999999,86.00999999999999,85.8,85.9
4146,SVMpoly,inceptionv3,99.9,86.71,100.0,86.09,86.11,86.41,86.2,86.1
4147,SVMpoly,inceptionv3,100.0,86.61,100.0,86.29,86.21,86.21,86.0,86.0
4148,SVMpoly,inceptionv3,99.8,86.81,100.0,85.89,86.00999999999999,86.61,86.4,86.2
4149,SVMpoly,inceptionv3,100.0,86.41,99.6,86.69000000000001,86.41,85.80999999999999,85.6,85.8
4150,SVMpoly,inceptionv3,100.0,85.61,98.0,88.29,87.21,84.21,84.0,85.0
4151,SVMpoly,inceptionv3,99.0,87.61,100.0,84.29,85.21,88.21,88.0,87.0
4152,SVMpoly,inceptionv3,100.0,86.61,100.0,86.29,86.21,86.21,86.0,86.0
4153,SVMpoly,inceptionv3,99.5,87.11,100.0,85.29,85.71,87.21,87.0,86.5
